Loading repository data...
Reading installed packages...

S  | Name                                       | Summary                                                                                                                                                                                                                                | Type
i  | gstreamer-plugins-base-lang                | Translations for package gstreamer-plugins-base                                                                                                                                                                                        | package
i  | gtk3-branding-openSUSE                     | The GTK+ toolkit library (version 3) -- openSUSE theme configuration                                                                                                                                                                   | package
i  | gtk3-data                                  | Data files for the GTK+ toolkit library v3                                                                                                                                                                                             | package
i  | gtk3-immodule-amharic                      | Amharic input method for the GTK+ toolkit library v3                                                                                                                                                                                   | package
i  | gtk3-immodule-inuktitut                    | Inuktitut input method for the GTK+ toolkit library v3                                                                                                                                                                                 | package
i  | gtk3-immodule-thai                         | Thai-Lao input method for the GTK+ toolkit library v3                                                                                                                                                                                  | package
i  | gtk3-immodule-tigrigna                     | Tigrigna input method for the GTK+ toolkit library v3                                                                                                                                                                                  | package
i  | gtk3-immodule-vietnamese                   | Vietnamese input method for the GTK+ toolkit library v3                                                                                                                                                                                | package
i  | gtk3-immodule-xim                          | X input method for the GTK+ toolkit library v3                                                                                                                                                                                         | package
i  | gtk3-lang                                  | Translations for package gtk3                                                                                                                                                                                                          | package
i  | gtk3-metatheme-adwaita                     | GTK+ 3 support for the Adwaita GNOME theme                                                                                                                                                                                             | package
i  | gtk3-schema                                | Config schema for the GTK+ toolkit library v3                                                                                                                                                                                          | package
i  | gtk3-tools                                 | Auxiliary utilities for the GTK+ toolkit library v3                                                                                                                                                                                    | package
i  | gtk4-branding-openSUSE                     | The GTK+ toolkit library (version 3) -- openSUSE theme configuration                                                                                                                                                                   | package
i  | gtk4-lang                                  | Translations for package gtk4                                                                                                                                                                                                          | package
i  | gtk4-schema                                | Config schema for the GTK+ toolkit library v4                                                                                                                                                                                          | package
i  | gtk4-tools                                 | Auxiliary utilities for the GTK+ toolkit library v4                                                                                                                                                                                    | package
i  | gvfs                                       | Virtual File System functionality for GLib                                                                                                                                                                                             | package
i  | gvfs-backend-samba                         | VFS functionality for GLib -- Samba Support                                                                                                                                                                                            | package
i  | gvfs-backends                              | VFS functionality for GLib                                                                                                                                                                                                             | package
i  | gvfs-fuse                                  | VFS functionality for GLib                                                                                                                                                                                                             | package
i  | gvfs-lang                                  | Translations for package gvfs                                                                                                                                                                                                          | package
i  | gxditview                                  | Ditroff Output Displayer for Groff                                                                                                                                                                                                     | package
i  | gzip                                       | GNU Zip Compression Utilities                                                                                                                                                                                                          | package
i  | hdparm                                     | A Program to get and set hard disk parameters                                                                                                                                                                                          | package
i  | hicolor-icon-theme                         | Fallback Icon Theme                                                                                                                                                                                                                    | package
i  | hicolor-icon-theme-branding-openSUSE       | Fallback Icon Theme -- openSUSE Icons                                                                                                                                                                                                  | package
i  | hostname                                   | Utility to Set/Show the Host Name or Domain Name                                                                                                                                                                                       | package
i  | hwdata                                     | Hardware identification and configuration data                                                                                                                                                                                         | package
i  | hwinfo                                     | Hardware Library                                                                                                                                                                                                                       | package
i  | ibus                                       | The "Intelligent Input Bus" input method                                                                                                                                                                                               | package
i  | ibus-dict-emoji                            | Emoji dictionary for IBus                                                                                                                                                                                                              | package
i  | ibus-gtk3                                  | IBus input method support for gtk3 applications                                                                                                                                                                                        | package
i  | ibus-gtk4                                  | IBus input method support for gtk4 applications                                                                                                                                                                                        | package
i  | ibus-lang                                  | Translations for package ibus                                                                                                                                                                                                          | package
i  | ibus-m17n                                  | The M17N engine for IBus platform                                                                                                                                                                                                      | package
i  | ibus-mozc                                  | The Mozc engine for IBus                                                                                                                                                                                                               | package
i  | ibus-mozc-candidate-window                 | An optional candidate window for ibus-mozc                                                                                                                                                                                             | package
i  | info                                       | A Stand-Alone Terminal-Based Info Browser                                                                                                                                                                                              | package
i  | info-lang                                  | Translations for package info                                                                                                                                                                                                          | package
i  | initviocons                                | Terminal Initialization, e.g. for the iSeries Virtual Console                                                                                                                                                                          | package
i  | ipa-ex-gothic-fonts                        | Scalable "Gothic" Japanese TrueType Font Made by IPA                                                                                                                                                                                   | package
i  | ipa-ex-mincho-fonts                        | Scalable "Mincho" Japanese TrueType Font Made by IPA                                                                                                                                                                                   | package
i  | ipa-gothic-fonts                           | "Gothic" Japanese TrueType Font Made by IPA                                                                                                                                                                                            | package
i  | ipa-mincho-fonts                           | "Mincho" Japanese TrueType Font Made by IPA                                                                                                                                                                                            | package
i  | ipa-pgothic-fonts                          | "Proportional Gothic" Japanese TrueType Font Made by IPA                                                                                                                                                                               | package
i  | ipa-pmincho-fonts                          | "Proportional Mincho" Japanese TrueType Font Made by IPA                                                                                                                                                                               | package
i  | ipa-uigothic-fonts                         | "UI Gothic" Japanese TrueType Font Made by IPA                                                                                                                                                                                         | package
i  | iproute2                                   | Linux network configuration utilities                                                                                                                                                                                                  | package
i  | iproute2-bash-completion                   | Bash completion for iproute                                                                                                                                                                                                            | package
i  | iputils                                    | IPv4 and IPv6 Networking Utilities                                                                                                                                                                                                     | package
i+ | irqbalance                                 | Daemon to balance IRQs on SMP machines                                                                                                                                                                                                 | package
i  | irqbalance-ui                              | UI for IRQ balance Daemon                                                                                                                                                                                                              | package
i  | iso-codes                                  | ISO Code Lists and Translations                                                                                                                                                                                                        | package
i  | issue-generator                            | Generates an issue files from different snippets                                                                                                                                                                                       | package
i  | jmdict                                     | The Japanese Dictionary from the EDRDG project (JMdict format)                                                                                                                                                                         | package
i  | jq                                         | A lightweight and flexible command-line JSON processor                                                                                                                                                                                 | package
i  | json-glib-lang                             | Translations for package json-glib                                                                                                                                                                                                     | package
i  | kbd                                        | Keyboard and Font Utilities                                                                                                                                                                                                            | package
i  | kdump                                      | Kernel crash dump scripts and utilities                                                                                                                                                                                                | package
i  | kdump                                      | Kernel dump tooling                                                                                                                                                                                                                    | pattern
i+ | kernel-default                             | The Standard Kernel                                                                                                                                                                                                                    | package
i  | kernel-default-extra                       | The Standard Kernel - Unsupported kernel modules                                                                                                                                                                                       | package
i  | kernel-default-optional                    | The Standard Kernel - Optional kernel modules                                                                                                                                                                                          | package
i  | kernel-firmware-all                        | Compatibility metapackage for kernel firmware files                                                                                                                                                                                    | package
i  | kernel-firmware-amdgpu                     | Kernel firmware files for AMDGPU graphics driver                                                                                                                                                                                       | package
i  | kernel-firmware-ath10k                     | Kernel firmware files for Atheros QCA988x WiFi drivers                                                                                                                                                                                 | package
i  | kernel-firmware-ath11k                     | Kernel firmware files for Atheros Qualcomm WiFi drivers                                                                                                                                                                                | package
i  | kernel-firmware-ath12k                     | Kernel firmware files for Atheros Qualcomm WiFi 7 chipset drivers                                                                                                                                                                      | package
i  | kernel-firmware-atheros                    | Kernel firmware files for Atheros wireless drivers                                                                                                                                                                                     | package
i  | kernel-firmware-bluetooth                  | Kernel firmware files for various Bluetooth drivers                                                                                                                                                                                    | package
i  | kernel-firmware-bnx2                       | Kernel firmware files for Broadcom network drivers                                                                                                                                                                                     | package
i  | kernel-firmware-brcm                       | Kernel firmware files for Broadcom wireless drivers                                                                                                                                                                                    | package
i  | kernel-firmware-chelsio                    | Kernel firmware files for Chelsio network drivers                                                                                                                                                                                      | package
i  | kernel-firmware-dpaa2                      | Kernel firmware files for NXP Management Complex bus driver                                                                                                                                                                            | package
i  | kernel-firmware-i915                       | Kernel firmware files for Intel i915 graphics driver                                                                                                                                                                                   | package
i  | kernel-firmware-intel                      | Kernel firmware files for Intel-platform device drivers                                                                                                                                                                                | package
i  | kernel-firmware-iwlwifi                    | Kernel firmware files for Intel wireless drivers                                                                                                                                                                                       | package
i  | kernel-firmware-liquidio                   | Kernel firmware files for Cavium LiquidIO driver                                                                                                                                                                                       | package
i  | kernel-firmware-marvell                    | Kernel firmware files for Marvell network drivers                                                                                                                                                                                      | package
i  | kernel-firmware-media                      | Kernel firmware files for various Video4Linux drivers                                                                                                                                                                                  | package
i  | kernel-firmware-mediatek                   | Kernel firmware files for Mediatek network drivers                                                                                                                                                                                     | package
i  | kernel-firmware-mellanox                   | Kernel firmware files for Mellanox Spectrum switch driver                                                                                                                                                                              | package
i  | kernel-firmware-mwifiex                    | Kernel firmware files for Marvell WiFi fullmac drivers                                                                                                                                                                                 | package
i  | kernel-firmware-network                    | Kernel firmware files for various network drivers                                                                                                                                                                                      | package
i  | kernel-firmware-nfp                        | Kernel firmware files for Netronome Flow Processor driver                                                                                                                                                                              | package
i  | kernel-firmware-nvidia                     | Kernel firmware files for Nvidia Tegra and graphics drivers                                                                                                                                                                            | package
i  | kernel-firmware-platform                   | Kernel firmware files for various platform drivers                                                                                                                                                                                     | package
i  | kernel-firmware-prestera                   | Kernel firmware files for Marvell Prestera ASIC driver                                                                                                                                                                                 | package
i  | kernel-firmware-qcom                       | Kernel firmware files for Qualcomm device drivers                                                                                                                                                                                      | package
i  | kernel-firmware-qlogic                     | Kernel firmware files for QLogic network drivers                                                                                                                                                                                       | package
i  | kernel-firmware-radeon                     | Kernel firmware files for Radeon graphics driver                                                                                                                                                                                       | package
i  | kernel-firmware-realtek                    | Kernel firmware files for Realtek wireless drivers                                                                                                                                                                                     | package
i  | kernel-firmware-serial                     | Kernel firmware files for various serial drivers                                                                                                                                                                                       | package
i  | kernel-firmware-sound                      | Kernel firmware files for various sound drivers                                                                                                                                                                                        | package
i  | kernel-firmware-ti                         | Kernel firmware files for Texas Instruments wireless drivers                                                                                                                                                                           | package
i  | kernel-firmware-ueagle                     | Kernel firmware files for Eagle IV USB ADSL modem driver                                                                                                                                                                               | package
i  | kernel-firmware-usb-network                | Kernel firmware files for various USB WiFi / Ethernet drivers                                                                                                                                                                          | package
i+ | kexec-tools                                | Tools for loading replacement kernels into memory                                                                                                                                                                                      | package
i  | keyutils                                   | Linux Key Management Utilities                                                                                                                                                                                                         | package
i  | kmod                                       | Utilities to load modules into the kernel                                                                                                                                                                                              | package
i  | kpartx                                     | Manages partition tables on device-mapper devices                                                                                                                                                                                      | package
i  | krb5                                       | MIT Kerberos5 implementation                                                                                                                                                                                                           | package
i+ | Leap                                       | openSUSE Leap 16.0                                                                                                                                                                                                                     | product
i+ | Leap-release                               | openSUSE Leap 16.0                                                                                                                                                                                                                     | package
i+ | less                                       | Text File Browser and Pager Similar to more                                                                                                                                                                                            | package
i  | lftp                                       | Command Line File Transfer Program                                                                                                                                                                                                     | package
i  | libacl1                                    | A dynamic library for accessing POSIX Access Control Lists                                                                                                                                                                             | package
i  | libaio1                                    | Linux-Native Asynchronous I/O Access Library                                                                                                                                                                                           | package
i  | libalternatives1                           | Runtime for libalternatives                                                                                                                                                                                                            | package
i  | libapr-util1-0                             | Apache Portable Runtime (APR) Utility Library                                                                                                                                                                                          | package
i  | libapr1-0                                  | Apache Portable Runtime (APR) Library                                                                                                                                                                                                  | package
i  | libarchive13                               | Library to work with several different streaming archive formats                                                                                                                                                                       | package
i  | libasm1                                    | A collection of utilities and DSOs to handle compiled objects                                                                                                                                                                          | package
i  | libasound2                                 | Advanced Linux Sound Architecture Library                                                                                                                                                                                              | package
i  | libassuan9                                 | IPC library used by GnuPG version 2                                                                                                                                                                                                    | package
i  | libatasmart-utils                          | ATA S.M.A.R.T. Disk Health Monitoring Library - Utilities                                                                                                                                                                              | package
i  | libatasmart4                               | ATA S.M.A.R.T. Disk Health Monitoring Library                                                                                                                                                                                          | package
i  | libatk-1_0-0                               | An Accessibility Toolkit                                                                                                                                                                                                               | package
i  | libatk-bridge-2_0-0                        | ATK/D-Bus bridging library                                                                                                                                                                                                             | package
i  | libatkmm-1_6-1                             | C++ Binding for the ATK library                                                                                                                                                                                                        | package
i  | libatspi0                                  | Assistive Technology Service Provider Interface                                                                                                                                                                                        | package
i  | libattr1                                   | A dynamic library for filesystem extended attribute support                                                                                                                                                                            | package
i  | libaudit1                                  | Library for interfacing with the kernel audit subsystem                                                                                                                                                                                | package
i  | libaugeas0                                 | A library for changing configuration files                                                                                                                                                                                             | package
i  | libauparse0                                | Library for parsing and interpreting audit events                                                                                                                                                                                      | package
i  | libavahi-client3                           | D-Bus Service for Zeroconf and Bonjour                                                                                                                                                                                                 | package
i  | libavahi-common3                           | D-Bus Service for Zeroconf and Bonjour                                                                                                                                                                                                 | package
i  | libavahi-glib1                             | Glib Bindings for avahi, the D-Bus Service for Zeroconf and Bonjour                                                                                                                                                                    | package
i  | libb2-1                                    | C library providing BLAKE2b, BLAKE2s, BLAKE2bp, BLAKE2sp                                                                                                                                                                               | package
i  | libbd_btrfs3                               | The Btrfs plugin for the LibBlockDev library                                                                                                                                                                                           | package
i  | libbd_crypto3                              | The Crypto plugin for the LibBlockDev library                                                                                                                                                                                          | package
i  | libbd_fs3                                  | The FS plugin for the LibBlockDev library                                                                                                                                                                                              | package
i  | libbd_loop3                                | The loop plugin for the LibBlockDev library                                                                                                                                                                                            | package
i  | libbd_lvm3                                 | The LVM plugin for the LibBlockDev library                                                                                                                                                                                             | package
i  | libbd_mdraid3                              | The MD RAID plugin for the LibBlockDev library                                                                                                                                                                                         | package
i  | libbd_nvme3                                | The NVMe plugin for the LibBlockDev library                                                                                                                                                                                            | package
i  | libbd_part3                                | The partitioning plugin for the LibBlockDev library                                                                                                                                                                                    | package
i  | libbd_swap3                                | The swap plugin for the LibBlockDev library                                                                                                                                                                                            | package
i  | libbd_utils3                               | Utility functions library for the LibBlockDev library                                                                                                                                                                                  | package
i  | libblkid1                                  | Filesystem detection library                                                                                                                                                                                                           | package
i  | libblockdev                                | A library for low-level manipulation with block devices                                                                                                                                                                                | package
i  | libblockdev3                               | A library for low-level manipulation with block devices                                                                                                                                                                                | package
i  | libbluray2                                 | Library to access Blu-Ray disk                                                                                                                                                                                                         | package
i  | libboost_thread1_86_0                      | Boost.Thread runtime libraries                                                                                                                                                                                                         | package
i  | libboost_thread1_86_0-x86-64-v3            | Boost.Thread runtime libraries                                                                                                                                                                                                         | package
i  | libbpf1                                    | C library for managing eBPF programs and maps                                                                                                                                                                                          | package
i  | libbrotlicommon1                           | Common Library for Brotli Compression                                                                                                                                                                                                  | package
i  | libbrotlicommon1-x86-64-v3                 | Common Library for Brotli Compression                                                                                                                                                                                                  | package
i  | libbrotlidec1                              | Library for Brotli Decompression                                                                                                                                                                                                       | package
i  | libbrotlidec1-x86-64-v3                    | Library for Brotli Decompression                                                                                                                                                                                                       | package
i  | libbrotlienc1                              | Library for Brotli Compression                                                                                                                                                                                                         | package
i  | libbrotlienc1-x86-64-v3                    | Library for Brotli Compression                                                                                                                                                                                                         | package
i  | libbsd0                                    | Library with functions commonly found on BSD systems                                                                                                                                                                                   | package
i  | libbtrfs0                                  | Library for interacting with Btrfs                                                                                                                                                                                                     | package
